Ref_ID,Paper_ID,Location_ID,Title,Author,Year,Sampling Start,Sampling End,State,District,Location,Geo_Type,Resolution,Lat_1,Lon_1,Lat_2,Lon_2,Lat_3,Lon_3,Lat_4,Lon_4,Lat_5,Lon_5,Lat_6,Lon_6,Lat_7,Lon_7,Lat_8,Lon_8,Lat_9,Lon_9,Lat_10,Lon_10,Lat_11,Lon_11,Lat_12,Lon_12,Sources,,,,,,,,,,
7,1,1,"Urban malaria vectors in Salem, Tamil Nadu: biting rates on man and cattle.",Batra,1979,1976,1977,Tamil Nadu,Salem,Shevapet,Single,Point,11.6521,78.1481,,,,,,,,,,,,,,,,,,,,,,,Google Maps with Village Names,,,,,,,,,,
7,1,2,"Urban malaria vectors in Salem, Tamil Nadu: biting rates on man and cattle.",Batra,1979,1976,1977,Tamil Nadu,Salem,Old Suramangalam,Single,Point,11.675,78.1032,,,,,,,,,,,,,,,,,,,,,,,Google Maps with Village Names,,,,,,,,,,
12,2,3,Resting behaviour of anophelines & sporozoite rates in vectors of malaria along the river Thenpennai (Tamil Nadu).,Mani ,1984,1980,1981,Tamil Nadu,Tiruvannamalai ,Various,Polygon,Constructed,12.1309,78.8951,11.9633,79.0245,12.2048,78.8517,12.0859,78.9589,12.0588,78.9689,12.05,78.9893,,,,,,,,,,,,,"https://www.google.co.uk/maps/place/Kolamanjanur,+Tamil+Nadu,+India/@12.1309891,78.8951308,17z/data=!3m1!4b1!4m5!3m4!1s0x3bac93dae4d615eb:0xac8bf18c90c69291!8m2!3d12.1310023!4d78.89735","https://www.google.co.uk/maps/place/Eduthanur,+Tamil+Nadu+605802,+India/@11.9633375,79.0245473,14z/data=!3m1!4b1!4m5!3m4!1s0x3baca23d8ae73a7f:0xd2db2452f1af2e86!8m2!3d11.9620905!4d79.0447306","https://www.google.co.uk/maps/place/Sathanur+Dam,+Tamil+Nadu+606706,+India/@12.2048395,78.8517441,16z/data=!3m1!4b1!4m5!3m4!1s0x3bac92b6a654cd7d:0x3bbe966193090860!8m2!3d12.206436!4d78.8566661","https://www.google.co.uk/maps/place/Agarampallipattu,+Tamil+Nadu+606707,+India/@12.0859414,78.958987,17z/data=!3m1!4b1!4m5!3m4!1s0x3bac96e4bcc8829b:0x31cf42e4836068fe!8m2!3d12.0864683!4d78.962409","https://www.google.co.uk/maps/place/Moongilthuraippattu,+Tamil+Nadu+605702,+India/@12.058889,78.9689755,16z/data=!3m1!4b1!4m5!3m4!1s0x3bac970abccc648b:0x61cdafec00363810!8m2!3d12.0590892!4d78.9726588","https://www.google.co.uk/maps/place/Porasapattu,+Tamil+Nadu+605702,+India/@12.0500218,78.9893382,15z/data=!3m1!4b1!4m5!3m4!1s0x3bac97ed21df068d:0xf47b3f758bfea9b3!8m2!3d12.0503092!4d78.9995154",,,,,
14,3,4,Density & biting behaviour of Anopheles culicifacies Giles in Rameswaram island (Tamil Nadu).,Jambulingam,1984,1981,1983,Tamil Nadu,Ramanathapuram ,Rameswaram Island,Single,Wide Area,9.2823,79.2772,,,,,,,,,,,,,,,,,,,,,,,"https://www.google.co.uk/maps/place/Rameswaram,+Tamil+Nadu+623526,+India/@9.2903016,79.2776236,13z/data=!4m5!3m4!1s0x3b01e3c4e61cf2b3:0xd667f9b98bbd63a1!8m2!3d9.2876254!4d79.3129291",,,,,,,,,,
15,4,5,Persistent malaria transmission in Pudukuppam--a coastal village of Pondicherry.,Panicker,1984,1981,1982,Tamil Nadu,Puducherry,Pondicherry,Single,Wide Area,11.8002,79.7929,,,,,,,,,,,,,,,,,,,,,,,"https://www.google.co.uk/maps/place/Pudukuppam,+Puducherry,+India/@11.8002995,79.7929368,14z/data=!4m5!3m4!1s0x3a549932776f1651:0x8d210bbdb396c05a!8m2!3d11.7920521!4d79.7946512",,,,,,,,,,
21,5,6,"A preliminary report on some entomological observations in malaria endemic areas of Kamrup district, Assam.",Kareem,1985,1981,1982,Assam,Kamrup,Boko PHC,Single,Small Polygon,26.2088,90.267,,,,,,,,,,,,,,,,,,,,,,,https://etrace.in/pincode/assam/kamrup/boko/kathalpara/,,,,,,,,,,
28,6,7,Daytime resting habits of Anopheles stephensi in an area of Calcutta.,Hati,1987,1985,1986,West Bengal,Calcutta,Calcutta,Single,Point,22.572,88.358,,,,,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
29,7,8,Incrimination of Anopheles stephensi liston as malaria vector in Calcutta.,Choudhuri,1987,1986,1986,West Bengal,Calcutta,Calcutta,Single,Point,22.518,88.344,,,,,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
44,8,9,"Bio-environmental control of malaria in a tribal area of Mandla district, Madhya Pradesh, India.",Singh,1989,1987,1988,Madhya Pradesh,Mandla,Bizadandi Block,Single,Small Polygon,23.1344,80.1931,,,,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps/place/Bijadandi,+Madhya+Pradesh,+India/@23.134491,80.1931114,125114m/data=!3m1!1e3!4m5!3m4!1s0x3980fedc0b34cbcd:0x28d948fe3a0e7a4!8m2!3d22.99796!4d80.1596041?hl=en-GB",,,,,,,,,,
49,9,10,"Resting of mosquitoes in outdoor pit shelters in Kheda district, Gujarat.",Bhatt,1989,1987,1988,Gujarat,Kheda,Various,Polygon,Constructed,22.6985,72.7954,22.7019,72.9312,22.647,72.8449,22.6094,72.7784,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Kheda/Nadiad/Davda,http://www.onefivenine.com/india/villages/Kheda/Nadiad/Salun-Talpad,http://www.onefivenine.com/india/villages/Kheda/Nadiad/Piplata,http://www.onefivenine.com/india/villages/Anand/Petlad/Demol,http://www.onefivenine.com/india/villages/Anand/Umreth/Pansora,,,,,,
