Ref_ID,Paper_ID,Location_ID,Title,Author,Year,Time_Series_ID,Epi Info,Absences?,Annularis,Culicifacies,Dirus,Fluviatilis,Minimus,Stephensi,Subpictus,Keep,Reason,Length,Start,End,Catch_Method,Species,January,February,March,April,May,June,July,August,September,October,November,December
7,1,1,"Urban malaria vectors in Salem, Tamil Nadu: biting rates on man and cattle.",Batra,1979,1,No,Yes,0,1,0,0,0,1,1,0.5,Low Counts,12,1976,1977,Human Night Biting,Stephensi,0,0,0,0,12,2.4,3.6,3.6,6,3.6,0.96,3.6
7,1,1,"Urban malaria vectors in Salem, Tamil Nadu: biting rates on man and cattle.",Batra,1979,2,No,Yes,0,1,0,0,0,1,1,0.5,Low Counts,12,1976,1977,Cattle Night Biting,Stephensi,2,0,0,1,26,2,0,4,1.5,0,0,0
7,1,1,"Urban malaria vectors in Salem, Tamil Nadu: biting rates on man and cattle.",Batra,1979,3,No,Yes,0,1,0,0,0,1,1,0.5,Low Counts,12,1976,1977,Human Night Biting,Subpictus,0,0,0,0,0,36,1.2,0,15,22.8,16.8,3.6
7,1,1,"Urban malaria vectors in Salem, Tamil Nadu: biting rates on man and cattle.",Batra,1979,4,No,Yes,0,1,0,0,0,1,1,1,,12,1976,1977,Cattle Night Biting,Subpictus,0,0,58,12,154,1050,86,80,515,1846,658,0.6
7,1,2,"Urban malaria vectors in Salem, Tamil Nadu: biting rates on man and cattle.",Batra,1979,5,No,Yes,0,1,0,0,0,1,1,0,Very Low Counts,12,1976,1977,Human Night Biting,Stephensi,0,0,0,0,0,2.4,0,0,0,0,0,0
7,1,2,"Urban malaria vectors in Salem, Tamil Nadu: biting rates on man and cattle.",Batra,1979,6,No,Yes,0,1,0,0,0,1,1,0,Very Low Counts,12,1976,1977,Cattle Night Biting,Stephensi,1,0,0.6,0,4,0,1,0,0,0,0,0
7,1,2,"Urban malaria vectors in Salem, Tamil Nadu: biting rates on man and cattle.",Batra,1979,7,No,Yes,0,1,0,0,0,1,1,0.5,Low Counts,12,1976,1977,Human Night Biting,Subpictus,0,0,1.6,1.6,0,48,11.2,14.4,3.2,9.6,10.4,0
7,1,2,"Urban malaria vectors in Salem, Tamil Nadu: biting rates on man and cattle.",Batra,1979,8,No,Yes,0,1,0,0,0,1,1,1,,12,1976,1977,Cattle Night Biting,Subpictus,27,164,247,278,87,141,201,115,395,760,161,0
12,2,3,Resting behaviour of anophelines & sporozoite rates in vectors of malaria along the river Thenpennai (Tamil Nadu).,Mani ,1984,9,No,Yes,1,1,0,1,0,0,1,1,,12,1980,1981,"Indoor Resting Collections, Human Dwellings and Cattlesheds",Culicifacies,122.45,167.48,182.885,276.5,292.3,399.74,361.03,334.96,483.48,530.09,453.855,778.545
12,2,3,Resting behaviour of anophelines & sporozoite rates in vectors of malaria along the river Thenpennai (Tamil Nadu).,Mani ,1984,10,No,Yes,1,1,0,1,0,0,1,1,,12,1980,1981,Outdoor Resting Collections,Culicifacies,462,700.7,173.25,229.075,227.535,1059.905,1446.06,512.82,440.055,292.6,287.98,275.275
12,2,3,Resting behaviour of anophelines & sporozoite rates in vectors of malaria along the river Thenpennai (Tamil Nadu).,Mani ,1984,11,No,Yes,1,1,0,1,0,0,1,1,,12,1980,1981,"Indoor Resting Collections, Human Dwellings and Cattlesheds",Subpictus,985.13,1906.665,2740.51,2378.69,119.685,539.175,2381.06,1043.195,1628.19,2079.675,1466.24,488.22
12,2,3,Resting behaviour of anophelines & sporozoite rates in vectors of malaria along the river Thenpennai (Tamil Nadu).,Mani ,1984,12,No,Yes,1,1,0,1,0,0,1,1,,12,1980,1981,Outdoor Resting Collections,Subpictus,304.15,739.585,1166.935,523.985,41.58,185.185,488.18,120.505,160.545,395.78,164.78,87.395
12,2,3,Resting behaviour of anophelines & sporozoite rates in vectors of malaria along the river Thenpennai (Tamil Nadu).,Mani ,1984,13,No,Yes,1,1,0,1,0,0,1,1,,12,1980,1981,Outdoor Resting Collections,Fluviatilis,170.555,170.555,348.81,352.66,0,9.625,0,13.86,46.2,58.905,13.09,9.625
14,3,4,Density & biting behaviour of Anopheles culicifacies Giles in Rameswaram island (Tamil Nadu).,Jambulingam,1984,14,No,Yes,0,1,0,0,0,0,1,0,Very Low Counts,12,1981,1983,Indoor Resting Collection,Culicifacies,2.235,2.01,1.98,1.47,0.925,0.855,1.06,0.885,0.8,0.75,1.85,3.87
14,3,4,Density & biting behaviour of Anopheles culicifacies Giles in Rameswaram island (Tamil Nadu).,Jambulingam,1984,15,No,Yes,0,1,0,0,0,0,1,0,Very Low Counts,12,1981,1983,Indoor Man Biting,Culicifacies,1.085,1.83,2.5,3.5,4.965,4.665,1.625,2.5,2.5,2,2,3.83
14,3,4,Density & biting behaviour of Anopheles culicifacies Giles in Rameswaram island (Tamil Nadu).,Jambulingam,1984,16,No,Yes,0,1,0,0,0,0,1,0.5,Low Counts,12,1981,1983,Outdoor Man Biting,Culicifacies,2.585,3.33,5.17,7.17,3.8,2.25,1.2,1.335,1.335,2.165,2.585,3
15,4,5,Persistent malaria transmission in Pudukuppam--a coastal village of Pondicherry.,Panicker,1984,17,Monthly,Yes,0,0,0,0,0,0,1,1,,12,1981,1982,Indoor Resting Collection,Subpictus,14.13,24.4,35.31,3.675,9.1,6.535,17.285,15.97,26.665,11.18,32.68,4.77
21,5,6,"A preliminary report on some entomological observations in malaria endemic areas of Kamrup district, Assam.",Kareem,1985,18,No,Yes,1,1,0,0,1,0,0,0.5,Low Counts,12,1981,1982,Multiple,Culicifacies,0,0,0,10,4,4,1,0,0,0,0,0
21,5,6,"A preliminary report on some entomological observations in malaria endemic areas of Kamrup district, Assam.",Kareem,1985,19,No,Yes,1,1,0,0,1,0,0,1,,12,1981,1982,Multiple,Annularis,14,1,41,113,159,51,63,34,13,6,10,8
21,5,6,"A preliminary report on some entomological observations in malaria endemic areas of Kamrup district, Assam.",Kareem,1985,20,No,Yes,1,1,0,0,1,0,0,0.5,Low Counts,12,1981,1982,Multiple,Dirus,0,0,0,0,0,2,5,4,1,0,0,0
21,5,6,"A preliminary report on some entomological observations in malaria endemic areas of Kamrup district, Assam.",Kareem,1985,21,No,Yes,1,1,0,0,1,0,0,0.5,Low Counts,12,1981,1982,Multiple,Minimus,8,3,3,1,4,8,16,11,4,2,15,8
28,6,7,Daytime resting habits of Anopheles stephensi in an area of Calcutta.,Hati,1987,22,No,Yes,0,0,0,0,0,1,1,1,,12,1985,1986,"Indoor Resting Collections, Human Dwellings, Mornings",Stephensi,0,2,0,4,12,75,104,36,69,39,12,4
28,6,7,Daytime resting habits of Anopheles stephensi in an area of Calcutta.,Hati,1987,23,No,Yes,0,0,0,0,0,1,1,0.5,Low Counts,12,1985,1986,"Indoor Resting Collections, Human Dwellings, Mornings",Subpictus,0,3,3,2,4,1,15,2,3,0,2,3
44,8,9,"Bio-environmental control of malaria in a tribal area of Mandla district, Madhya Pradesh, India.",Singh,1989,24,Monthly,Yes,1,1,0,1,0,0,1,0.5,Low Counts,12,1987,1988,"Indoor Resting Collections, Human and Cattle Dwellings, Morning",Culicifacies,476.25,379.125,281.625,461.34,183.285,168.87,256.59,469.125,517.05,333.255,403.995,254.19
44,8,9,"Bio-environmental control of malaria in a tribal area of Mandla district, Madhya Pradesh, India.",Singh,1989,25,Monthly,Yes,1,1,0,1,0,0,1,1,,12,1987,1988,"Indoor Resting Collections, Human and Cattle Dwellings, Morning",Annularis,41.55,36,11.505,16.23,4.44,10.83,15.27,17.67,8.805,21.12,27.45,30.795
44,8,9,"Bio-environmental control of malaria in a tribal area of Mandla district, Madhya Pradesh, India.",Singh,1989,26,Monthly,Yes,1,1,0,1,0,0,1,1,,12,1987,1988,"Indoor Resting Collections, Human and Cattle Dwellings, Morning",Fluviatilis,1.125,1.125,2.505,2.13,0.495,0.495,1.5,1.995,0.375,3.285,3.495,6.405
44,8,9,"Bio-environmental control of malaria in a tribal area of Mandla district, Madhya Pradesh, India.",Singh,1989,27,Monthly,Yes,1,1,0,1,0,0,1,1,,12,1987,1988,"Indoor Resting Collections, Human and Cattle Dwellings, Morning",Subpictus,3.525,1.125,3.375,5.325,13.59,24.42,42.015,58.695,61.245,9.93,13.5,15.375
49,9,10,"Resting of mosquitoes in outdoor pit shelters in Kheda district, Gujarat.",Bhatt,1989,28,No,Yes,1,1,0,1,0,1,1,1,,12,1987,1988,"Human Dwellings, Indoor Resting Collections, Morning",Culicifacies,3,21,44,74,63,3.7,0,5,17,68,9,0
49,9,10,"Resting of mosquitoes in outdoor pit shelters in Kheda district, Gujarat.",Bhatt,1989,29,No,Yes,1,1,0,1,0,1,1,0.5,Low Counts,12,1987,1988,"Cattlesheds, Indoor Resting Collections, Morning",Culicifacies,72,792,1359,685,262,11.2,15,43,149,535,162,120
49,9,10,"Resting of mosquitoes in outdoor pit shelters in Kheda district, Gujarat.",Bhatt,1989,30,No,Yes,1,1,0,1,0,1,1,1,,12,1987,1988,Outdoor Pit Collections,Culicifacies,9.5,33.06,137.56,129.96,66.5,19,13.3,1.14,171.38,181.26,14.06,4.56
49,9,10,"Resting of mosquitoes in outdoor pit shelters in Kheda district, Gujarat.",Bhatt,1989,31,No,Yes,1,1,0,1,0,1,1,1,,12,1987,1988,"Human Dwellings, Indoor Resting Collections, Morning",Annularis,0,0,9,3,0,3.7,5,1,2,10,0,1
49,9,10,"Resting of mosquitoes in outdoor pit shelters in Kheda district, Gujarat.",Bhatt,1989,32,No,Yes,1,1,0,1,0,1,1,0,Very Low Counts,12,1987,1988,"Cattlesheds, Indoor Resting Collections, Morning",Annularis,55,42,83,95,14,3.7,84,19,33,57,108,70
49,9,10,"Resting of mosquitoes in outdoor pit shelters in Kheda district, Gujarat.",Bhatt,1989,33,No,Yes,1,1,0,1,0,1,1,0,Very Low Counts,12,1987,1988,Outdoor Pit Collections,Annularis,0,0,6.46,5.7,6.46,9.5,29.26,4.56,7.6,16.72,0,0
49,9,10,"Resting of mosquitoes in outdoor pit shelters in Kheda district, Gujarat.",Bhatt,1989,34,No,Yes,1,1,0,1,0,1,1,0.5,Low Counts,12,1987,1988,Outdoor Pit Collections,Fluviatilis,0.95,0,0,0,0,0,0,1.14,0,0,0,0.95
49,9,10,"Resting of mosquitoes in outdoor pit shelters in Kheda district, Gujarat.",Bhatt,1989,35,No,Yes,1,1,0,1,0,1,1,0.5,Low Counts,12,1987,1988,"Human Dwellings, Indoor Resting Collections, Morning",Stephensi,0,0,0,0,1,0,0,0,0,1,0,0
49,9,10,"Resting of mosquitoes in outdoor pit shelters in Kheda district, Gujarat.",Bhatt,1989,36,No,Yes,1,1,0,1,0,1,1,1,,12,1987,1988,"Cattlesheds, Indoor Resting Collections, Morning",Stephensi,7,2,6,8,11,1.2,9,11,6,3,13,13
49,9,10,"Resting of mosquitoes in outdoor pit shelters in Kheda district, Gujarat.",Bhatt,1989,37,No,Yes,1,1,0,1,0,1,1,1,,12,1987,1988,Outdoor Pit Collections,Stephensi,0.95,0,0,0,0.95,0,0,0,7.6,1.9,1.9,0
49,9,10,"Resting of mosquitoes in outdoor pit shelters in Kheda district, Gujarat.",Bhatt,1989,38,No,Yes,1,1,0,1,0,1,1,1,,12,1987,1988,"Human Dwellings, Indoor Resting Collections, Morning",Subpictus,59,203,1210,925,362,61.2,228,1075,4464,1968,163,43
49,9,10,"Resting of mosquitoes in outdoor pit shelters in Kheda district, Gujarat.",Bhatt,1989,39,No,Yes,1,1,0,1,0,1,1,1,,12,1987,1988,"Cattlesheds, Indoor Resting Collections, Morning",Subpictus,790,1601,3392,1616,691,141.2,438,2938,7534,3458,1271,586
49,9,10,"Resting of mosquitoes in outdoor pit shelters in Kheda district, Gujarat.",Bhatt,1989,40,No,Yes,1,1,0,1,0,1,1,1,,12,1987,1988,Outdoor Pit Collections,Subpictus,20.9,66.5,176.7,72.96,53.96,17.86,53.58,49.4,805.6,140.22,41.8,19
50,10,11,"Persistent malaria transmission in Kundam block, district Jabalpur (M.P.).",Singh,1989,41,Monthly,No,1,1,,,,,,0.5,Low Counts,12,1987,1988,"Indoor Resting Collections, Human and Cattle Dwellings",Culicifacies,481.2,638,676,925.6,377,343.4,437,512,903,584,278,568
50,10,11,"Persistent malaria transmission in Kundam block, district Jabalpur (M.P.).",Singh,1989,42,Monthly,No,1,1,,,,,,1,,12,1987,1988,"Indoor Resting Collections, Human and Cattle Dwellings",Annularis,94.4,1.56,17.6,21.6,6,8.56,27,10,13,32,154,126
